"","alpha","beta[1]","beta[2]","beta[3]","sigma","lp__"
"163",-0.270503904386403,0.913346546699735,0.0825604178198601,0.304699807582524,0.270531300922804,14821.0474888247
"164",-0.260878047625843,0.911685752922337,0.0827875976331795,0.299317479841986,0.272253617032386,14822.027094286
"165",-0.262335163665658,0.90573230585495,0.0881531641378099,0.30552138385424,0.270205462373424,14820.1485844791
"166",-0.2626545237847,0.905699563895538,0.0881319625044052,0.305085796148829,0.27022099639308,14821.5066283861
"167",-0.259925223471478,0.908324370687856,0.0859252412558427,0.30058190746453,0.26827415701883,14823.540095794
"168",-0.257867982883926,0.913928718589091,0.0810510682600524,0.294171232143215,0.270134463433016,14821.3415772803
"169",-0.261766541392619,0.914199814023163,0.0806922246254253,0.298576716221179,0.270274166940489,14821.8050160977
"170",-0.267323882845815,0.914399426996846,0.0806047865812532,0.304541131646339,0.27108166042129,14821.1799579886
"171",-0.274318203732928,0.917490619680925,0.0787527889196121,0.306895362961803,0.27385888370865,14814.2269733971
"172",-0.261748435183078,0.916574780355268,0.0781563402027002,0.298492734958905,0.274401220250473,14816.1258524921
"173",-0.262898731983458,0.910580495924567,0.0840983292192104,0.302393182096976,0.270727131258822,14822.7654703577
"174",-0.263109152933893,0.909831913370542,0.0836655318244475,0.306445160960992,0.271055358135114,14820.5003167707
"175",-0.267797629500814,0.911143046406798,0.0842812117036862,0.304542051203109,0.272264703884695,14822.6338208987
"176",-0.257130196891919,0.910895201444901,0.083497907873867,0.296180175119073,0.271503163358302,14823.0719929895
"177",-0.257928475438856,0.910206997770809,0.0846771513862403,0.295577213344593,0.272355875418114,14822.7676067635
"178",-0.259397575633524,0.910782298666672,0.0839769471926319,0.298122710118052,0.268259237025665,14823.0222304908
"179",-0.264160692961534,0.90827358042026,0.0872535366010453,0.301247283388896,0.271809285135985,14821.7590038838
"180",-0.252031180048944,0.907263467470787,0.0858385908594551,0.296782679222106,0.272065968358128,14818.3959449291
"181",-0.252426956949361,0.907275303329534,0.085853735122911,0.296608305593034,0.272052746910243,14820.2340466286
"182",-0.252135985248479,0.907263698769212,0.0857865652036154,0.296787065219251,0.272107638198975,14819.3819821172
"183",-0.267862983628731,0.906741847112616,0.0877044580363342,0.307995905312009,0.270764786403063,14820.1415843763
"184",-0.263084040508674,0.90753415170095,0.0876615182363887,0.301473267170043,0.268622540867858,14821.7674885337
"185",-0.257731806488854,0.905162083061549,0.0886911468996968,0.300321542388391,0.27282604295367,14820.5201414796
"186",-0.259757555021776,0.905019063957994,0.0897674666037301,0.298597997943683,0.271683215159723,14820.1032489488
"187",-0.256223222175282,0.904386482789213,0.0889583856585409,0.299902728701314,0.271016696492233,14820.2245381633
"188",-0.257306676940961,0.904293185110379,0.0902224586782,0.29749088650654,0.269915034729707,14820.1978980496
