draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,sigma
2893,1887.6105402182943,0.9503054283588211,0.021765770852745368,7.0,127.0,0.0,-1886.272578517449,-0.01097099608766683,0.3558572482736597,0.6196824985376523,0.0899965113236908
2894,1888.6519652819202,0.9965309670288827,0.022577872639330785,7.0,127.0,0.0,-1887.6768179032845,0.047131461386028486,0.3319968460375753,0.6277925480239344,0.08901376818097988
2895,1890.3217688722907,0.9998590302421554,0.02347331351994421,7.0,127.0,0.0,-1889.7314650171184,0.04374028267982592,0.30027000711911384,0.6609935464875633,0.09175907087597232
2896,1886.7894796409355,0.8135230687216163,0.021264886404270496,4.0,31.0,0.0,-1885.8706128255678,0.03332718353167082,0.32438893370363453,0.6373329234529077,0.09337010824152116
2897,1890.3811177375255,0.9973984061751979,0.021765770852745368,7.0,255.0,0.0,-1885.9503754964746,0.039618105386728844,0.2993055033092285,0.6631074188122166,0.09159268791601542
2898,1889.494101424072,0.9961344086690844,0.022577872639330785,6.0,63.0,0.0,-1888.3607110183123,0.035923830336831566,0.3367167750898554,0.6263402080703129,0.08951415779417694
2899,1885.394979912962,0.7865545303714949,0.02347331351994421,6.0,115.0,0.0,-1884.3022086730718,0.06477161847516337,0.328393273290966,0.6244921186574498,0.09130308207582069
2900,1889.9627441749224,1.0,0.021264886404270496,2.0,3.0,0.0,-1886.8487395887332,0.03330702718170294,0.3255999948637042,0.6380260618494372,0.0933627166097834
2901,1889.5015048241369,0.9052478556600717,0.021765770852745368,6.0,71.0,0.0,-1888.2622942723458,0.056840254361740575,0.28606298818219267,0.6720671027989241,0.09130444691063298
2902,1888.4055535911382,0.9997342306052766,0.022577872639330785,8.0,255.0,0.0,-1887.2169474338564,0.037209231980417076,0.2780897999472228,0.6857355295429838,0.0945879744884671
2903,1888.0212490877066,0.9864336745774014,0.02347331351994421,7.0,127.0,0.0,-1884.2100025605296,0.023651704350885767,0.28360458872296473,0.6828337819280409,0.08997096257428107
2904,1889.1910354615077,0.9866140687279559,0.021264886404270496,7.0,191.0,0.0,-1888.2678028665393,0.0013910006787794533,0.3475781428709972,0.6254014269198053,0.08996710002370388
2905,1888.5860258809262,0.9683177738139835,0.021765770852745368,7.0,127.0,0.0,-1888.3153472689285,0.058625093519519604,0.27191270297802345,0.6864305145001938,0.09131900950870146
2906,1889.3544823923617,0.8216388104344756,0.022577872639330785,7.0,127.0,0.0,-1886.316408671946,0.02666015789395602,0.3159726867600645,0.6514575778828515,0.09159631297975647
2907,1888.001367930628,0.8516330768924313,0.02347331351994421,7.0,127.0,0.0,-1885.543846380533,0.03828455149872205,0.29476275038503486,0.6670148338796021,0.08845727441020684
2908,1890.0074180024455,0.8193390526418336,0.021264886404270496,7.0,127.0,0.0,-1886.7822007960401,0.034829313498879855,0.33303291135249724,0.6300100190170052,0.09052192835930557
2909,1889.0574007710754,0.9994608196887639,0.021765770852745368,8.0,255.0,0.0,-1887.4361454681261,0.040590789138554226,0.3003632294798612,0.6627415096869977,0.08879333382246014
2910,1890.0552710076415,0.9999312210544243,0.022577872639330785,5.0,59.0,0.0,-1889.0932899224802,0.03456998861188563,0.3093425531944245,0.655406956479755,0.0911453044182713
2911,1888.3730120857788,0.6609731180811933,0.02347331351994421,2.0,7.0,0.0,-1883.544959460174,0.03779288111342701,0.29461100808318863,0.6696564221480169,0.08847112028255256
2912,1889.5739602930564,0.9951001914713999,0.021264886404270496,7.0,255.0,0.0,-1889.2412221596562,0.04131951100429377,0.3255472431490595,0.636443815062247,0.08951358157500135
2913,1888.971584939458,0.8632590577648205,0.021765770852745368,8.0,255.0,0.0,-1886.2310798089677,0.0348037198723165,0.2756022041395857,0.6888921069572091,0.09302620439876742
2914,1889.1566160012,0.9307612232696878,0.022577872639330785,5.0,59.0,0.0,-1888.7472427832056,0.03262554275952343,0.3065943528506088,0.6564671246888185,0.09145603783746842
2915,1888.2869115540414,0.8494155858225418,0.02347331351994421,7.0,127.0,0.0,-1883.5460010021402,0.023421594723845536,0.29985975498912915,0.6688706642326148,0.09360654995233779
2916,1888.2870902129798,0.91529253306656,0.021264886404270496,7.0,127.0,0.0,-1887.1784596929126,0.0090317712277455,0.3303220412933002,0.6412076991870608,0.08797324744135279
2917,1889.4517925971484,0.9208455603025583,0.021765770852745368,5.0,55.0,0.0,-1887.4861582794604,0.04094543827245156,0.28457490972260224,0.6784296196677985,0.09301461289230888
2918,1887.3610958706136,0.9549076887247916,0.022577872639330785,6.0,99.0,0.0,-1885.5540019439952,0.050148725674693945,0.32289041554525466,0.6379605097008515,0.09268860629167325
