draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta.1,beta.2,beta.3,sigma
1598,12055.28971352532,0.9975511299747055,0.025731010478064465,7.0,127.0,0.0,-12054.440324908303,-0.22221545036242868,0.681100028281054,0.3068152694968063,0.3180303098868838,0.1349626930496105
1599,12058.34135344196,0.9757112496667418,0.027611744434291367,7.0,127.0,0.0,-12057.47240081834,-0.24731717635614814,0.7144277978669052,0.28027064392554607,0.3135166430447855,0.13348936782099804
1600,12056.259508773472,0.9549207822876123,0.02320372495041992,7.0,127.0,0.0,-12054.08054112669,-0.26110438334744385,0.7061841840897837,0.2911378028029006,0.3292253851042258,0.13440326910616698
1601,12057.321242591606,0.7893219744289813,0.027567250146182155,6.0,127.0,0.0,-12054.985967993234,-0.2580558937054906,0.7133547287241216,0.28510152849467973,0.31805448735004777,0.13396868536032452
1602,12059.234230788772,0.9352057340313803,0.025731010478064465,7.0,127.0,0.0,-12052.760568977896,-0.2529639431570472,0.7096959031976722,0.2874324600641519,0.3142118383383508,0.1340606866779368
1603,12057.925217125407,0.9332406661606186,0.027611744434291367,7.0,127.0,0.0,-12055.762426194113,-0.24627534285971817,0.7132942940830291,0.28124792405336135,0.3117864219795066,0.13331353239061067
1604,12058.537583584908,0.9999074828283957,0.02320372495041992,6.0,127.0,0.0,-12052.838437818375,-0.23761509191377714,0.6927522559933438,0.29923721556431776,0.31940470815325483,0.1345786015332192
1605,12057.107673563722,0.9871060154174021,0.027567250146182155,7.0,127.0,0.0,-12055.871417310085,-0.261585607839033,0.7152158491497933,0.2844819909057524,0.3154061186551712,0.13551646737577902
1606,12057.874225628277,0.9045664161329918,0.025731010478064465,6.0,63.0,0.0,-12056.78038732784,-0.2630821546083321,0.7149850734818268,0.28489284989902486,0.3136943026704602,0.13328514970913793
1607,12057.147079169818,0.9551245765943074,0.027611744434291367,7.0,175.0,0.0,-12055.190189594401,-0.2473790657769961,0.7297694940820142,0.2661584807745275,0.30536906426479465,0.13482546926128702
