"","alpha","beta[1]","beta[2]","beta[3]","beta[4]","sigma","lp__"
"101",-0.45186022733084,0.908102541070634,0.142761022016171,0.507167507706798,-0.0610701688472659,0.26737937577647,14876.4804050727
"102",-0.449047541469248,0.907470351627119,0.144011202050679,0.50517531228416,-0.062027271822107,0.267606566142831,14876.975196676
"103",-0.521399500012508,0.906283680662561,0.16567027470249,0.586374794082733,-0.0851537641154498,0.26848785421593,14873.5127428222
"104",-0.52126290459695,0.906755454516363,0.165454543575595,0.583118027455509,-0.0842068998461992,0.266901841916212,14873.8296672774
"105",-0.444845302900153,0.90824888131716,0.141991575700089,0.500475775309166,-0.0607111012091816,0.272158216170065,14875.0748928864
"106",-0.487228822478605,0.9129731353888,0.149079517422778,0.544957780267561,-0.0732903111588283,0.269744137068265,14876.258593469
"107",-0.460564185602735,0.905531567712738,0.149648909673984,0.514434641743424,-0.0648448225633616,0.271791835581217,14871.8012133805
"108",-0.457677260140239,0.905363503885666,0.148933175641805,0.515525076685786,-0.0651711653477877,0.27180413214761,14874.1919874442
"109",-0.452544641299664,0.908629844492487,0.143250724686842,0.507673706529362,-0.0618842166679476,0.269224941428282,14875.9881959632
"110",-0.456681286969757,0.910985553201471,0.142842402554727,0.513163514030064,-0.0648473152706324,0.271243511909438,14875.5410612104
"111",-0.460003955713751,0.911324217880577,0.143017102493219,0.514448009685739,-0.0645183305562967,0.270676659871177,14876.7500186377
"112",-0.441760009148389,0.909326273043674,0.140077971855068,0.494070107464026,-0.058780772458734,0.265891989214224,14875.4838812231
