"","alpha","beta[1]","sigma","lp__"
"155",-0.112258941283345,0.996954713608008,0.15096347942655,11053.8692658172
"156",-0.115837539266795,0.996893069817555,0.153124900235692,11053.525319954
"157",-0.108150230629424,0.995107393590183,0.150487219692119,11053.7649296669
"158",-0.10816593947343,0.995314790123439,0.149937892374398,11053.055481273
"159",-0.107224395687369,0.994273974498498,0.152220003054151,11053.7540020514
"160",-0.106014474306724,0.99506291864212,0.152084277294523,11054.7420178363
"161",-0.107546890876483,0.995342858199024,0.151929334696917,11054.887927577
"162",-0.106272087691065,0.995304942298145,0.152230405169023,11054.4628816015
"163",-0.106272087691065,0.995304942298145,0.152230405169023,11054.4628816015
"164",-0.101011645497316,0.994218082887808,0.150935982055464,11052.375420236
"165",-0.105975406151369,0.995344062748476,0.151579849146912,11053.9940314461
"166",-0.0986302827409521,0.992276903857876,0.152033221636009,11054.5233325192
"167",-0.112212606263832,0.995873163298573,0.15129379632041,11053.7166580328
